uuid,type,name,parent_name,parent_type,parent_uuid,child_name,read
692237a4-e66a-413f-8ea9-40e0d30229c1,Interdisiplinary Research Units,Penn State Clinical and Translational Science Institute (CTSI),Interdisciplinary_Institutes_and_Units,Interdisiplinary Research Units,d8f0fcd2-4a01-4ef4-af86-d2d01e2a3580,Penn_State_Clinical_and_Translational_Science_Institute_(CTSI),1
68573cdc-7eb1-4178-88f2-65095fbe4a50,College,Smeal College of Business,Penn_State_University_Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7,Smeal_College_of_Business,1
f09adc6a-1843-4d41-91fc-5f5538d200a9,College,College of Nursing,Penn_State_University_Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7,College_of_Nursing,1
726afca4-77c1-4859-bd5c-36abb8d7129a,Interdisiplinary Research Units,Social Science Research Institute (SSRI),Interdisciplinary_Institutes_and_Units,Interdisiplinary Research Units,d8f0fcd2-4a01-4ef4-af86-d2d01e2a3580,Social_Science_Research_Institute_(SSRI),1
1081783b-ca65-43e7-9db0-d1d68657e3b2,College,College of Information Sciences and Technology,Penn_State_University_Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7,College_of_Information_Sciences_and_Technology,1
c9234067-389e-4de1-a5cb-91dbe0173964,Interdisiplinary Research Units,Penn State Cancer Institute,Interdisciplinary_Institutes_and_Units,Interdisiplinary Research Units,d8f0fcd2-4a01-4ef4-af86-d2d01e2a3580,Penn_State_Cancer_Institute,1
53547b8c-c40d-4fff-828d-534accc133cb,Interdisiplinary Research Units,Institutes of Energy and the Environment (IEE),Interdisciplinary_Institutes_and_Units,Interdisiplinary Research Units,d8f0fcd2-4a01-4ef4-af86-d2d01e2a3580,Institutes_of_Energy_and_the_Environment_(IEE),1
159b0439-2029-4220-898b-60a7b9dce8d9,Interdisiplinary Research Units,Materials Research Institute (MRI),Interdisciplinary_Institutes_and_Units,Interdisiplinary Research Units,d8f0fcd2-4a01-4ef4-af86-d2d01e2a3580,Materials_Research_Institute_(MRI),1
3ac727a3-e37a-4861-80ee-3143a3768077,College,Eberly College of Science,Penn_State_University_Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7,Eberly_College_of_Science,1
0bab3c92-bbc2-478f-a85e-4c8e25cd0631,College,College of Health & Human Development,Penn_State_University_Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7,College_of_Health_&_Human_Development,1
0a3aefc6-c17a-429a-be9d-adb61ad8c0df,College,Donald P. Bellisario College of Communications,Penn_State_University_Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7,Donald_P_Bellisario_College_of_Communications,1
a3528568-5c47-4da0-8411-4c451622a825,College,College of the Liberal Arts,Penn_State_University_Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7,College_of_the_Liberal_Arts,1
f4d22926-7c93-460e-9dca-f7e4960dc574,College,College of Education,Penn_State_University_Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7,College_of_Education,1
0661c979-3e35-4031-a5b3-31c2aba04acf,College,College of Arts & Architecture,Penn_State_University_Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7,College_of_Arts_&_Architecture,1
567051d4-284a-4418-8819-1a29702d943f,College,College of Agricultural Sciences,Penn_State_University_Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7,College_of_Agricultural_Sciences,1
55a99c3d-a603-43e8-9544-e108fd52f89b,Interdisiplinary Research Units,Institute for CyberScience (ICS),Interdisciplinary_Institutes_and_Units,Interdisiplinary Research Units,d8f0fcd2-4a01-4ef4-af86-d2d01e2a3580,Institute_for_CyberScience_(ICS),1
930f50d2-34a9-442f-8d90-3754e6e4b9a1,College,College of Earth & Mineral Sciences,Penn_State_University_Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7,College_of_Earth_&_Mineral_Sciences,1
47bf26c5-18c0-45d1-8aab-9f4597321764,College,College of Engineering,Penn_State_University_Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7,College_of_Engineering,1
59c96941-0a58-484f-83b5-9aa47a816a88,Libraries,University Libraries - University Park,University_Libraries,Campus,b8941105-e61a-4e4e-b9ec-efbf5c562e97,University_Libraries_-_University_Park,1
d0a312ab-af2b-4bd8-8ee1-2d1f7e107d94,Interdisiplinary Research Units,Huck Institutes of the Life Sciences,Interdisciplinary_Institutes_and_Units,Interdisiplinary Research Units,d8f0fcd2-4a01-4ef4-af86-d2d01e2a3580,Huck_Institutes_of_the_Life_Sciences,1
db81c269-b734-4851-86b1-43298bfa9556,College,School of International Affairs,Penn_State_University_Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7,School_of_International_Affairs,1
cd5cd203-da78-4b76-9600-f0aa474b456d,University,The Pennsylvania State University,nan,,,The_Pennsylvania_State_University,1
72af714d-97dd-4f30-afb7-f0f1183ca319,Campus,Penn State Altoona,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_Altoona,1
d4b355cc-e30b-4f02-a041-3d0a51995777,Campus,Penn State Extension,College_of_Agricultural_Sciences,College,567051d4-284a-4418-8819-1a29702d943f,Penn_State_Extension,1
3a0518c4-039a-4ad9-93b3-1cc53df99b97,Campus,Penn State Lehigh Valley,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_Lehigh_Valley,1
981e50a6-849f-40e7-ac37-294561f5c7da,Campus,"Penn State Erie, The Behrend College",The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,"Penn_State_Erie,_The_Behrend_College",1
1ff46d1c-e9bc-4689-bd99-c7ea528cdf3a,Campus,Penn State Berks,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_Berks,1
d6618b66-ba68-401f-95d7-79c93fdabedb,Campus,Penn State Beaver,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_Beaver,1
752fc257-c7c5-4d58-94cb-ef764f9c5cb9,Campus,Penn State Harrisburg,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_Harrisburg,1
ec793460-7c76-4242-9ffb-13626cc40696,Campus,Penn State Brandywine,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_Brandywine,1
0173f16e-14ab-46ae-a8af-c3d160cc4615,Campus,Dickinson Law (Carlisle),The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Dickinson_Law_(Carlisle),1
8afb017a-5c21-4bc9-af3d-047ee5674f17,Campus,Penn State DuBois,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_DuBois,1
7c8713df-4029-477c-909d-bc4877731349,Campus,"Penn State Fayette, The Eberly Campus",The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,"Penn_State_Fayette,_The_Eberly_Campus",1
481947bd-5283-4ce7-b11f-cf53aa44370a,Campus,Penn State Hazleton,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_Hazleton,1
1b0f11a9-3896-4d5f-a266-a3407b0d116b,Campus,Penn State Great Valley,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_Great_Valley,1
f618c535-bb74-4f36-9165-89e2161b34ad,Campus,Penn State Mont Alto,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_Mont_Alto,1
eb526026-39ca-45b1-9389-df6ad3de4f66,Campus,Penn State Greater Allegheny,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_Greater_Allegheny,1
dab506e5-2e04-434c-910f-53a06ad1450d,Campus,Penn State New Kensington,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_New_Kensington,1
6502a6d6-c29c-4b88-ae90-bf3352b53328,Campus,Penn State Abington,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_Abington,1
3e650b91-e711-40ba-8590-45b728a42d4b,Campus,Penn State Schuylkill,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_Schuylkill,1
aa48210e-713f-4955-aec0-6db0f07e1627,Campus,Penn State Shenango,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_Shenango,1
63a0013d-7ac9-4007-bea5-fa60a60776f7,Campus,Penn State University Park,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_University_Park,1
01ad59e8-e298-4665-84a4-9250f3a7de72,Campus,Penn State Wilkes-Barre,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_Wilkes-Barre,1
d2fcd5bc-41bc-404c-845c-bc2d61b3e8e0,Campus,Penn State Worthington Scranton,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_Worthington_Scranton,1
986b56e2-cf71-4ebc-8ee9-d226b25fc2c8,Campus,Penn State York,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Penn_State_York,1
d8f0fcd2-4a01-4ef4-af86-d2d01e2a3580,Interdisiplinary Research Units,Interdisciplinary Institutes and Units,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,Interdisciplinary_Institutes_and_Units,1
a4be95f8-db73-424b-b264-00d728508c77,Department,Office of the Vice President for Research,Penn_State_University_Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7,Office_of_the_Vice_President_for_Research,1
c7e76643-4221-434d-9d0a-fea1e5fe6642,College,Penn State Law (University Park),Penn_State_University_Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7,Penn_State_Law_(University_Park),1
caa8facf-31b0-40b1-b37b-8c119000efa0,Libraries,Beaver Campus Library,University_Libraries,Campus,b8941105-e61a-4e4e-b9ec-efbf5c562e97,Beaver_Campus_Library,1
b8941105-e61a-4e4e-b9ec-efbf5c562e97,Campus,University Libraries,The_Pennsylvania_State_University,University,cd5cd203-da78-4b76-9600-f0aa474b456d,University_Libraries,1
5270f768-a58f-49ec-984c-0a85c1d135b1,Interdisiplinary Research Units,Applied Research Laboratory (ARL),Interdisciplinary_Institutes_and_Units,Interdisiplinary Research Units,d8f0fcd2-4a01-4ef4-af86-d2d01e2a3580,Applied_Research_Laboratory_(ARL),1
3e1069a0-f31b-4d64-a92a-9a5dfd6b467c,Department,Division of Arts & Humanities (Altoona),Penn_State_Altoona,Campus,72af714d-97dd-4f30-afb7-f0f1183ca319,Division_of_Arts_&_Humanities_(Altoona),1
42998608-d8a8-4544-9036-716939ce6d14,Department,"Division of Business, Engineering, and Information Sciences & Technology (Altoona)",Penn_State_Altoona,Campus,72af714d-97dd-4f30-afb7-f0f1183ca319,"Division_of_Business,_Engineering,_and_Information_Sciences_&_Technology_(Altoona)",1
b4084776-aa3a-49b2-aa1b-cabc6edef270,Department,"Division of Education, Human Development & Social Sciences (Altoona)",Penn_State_Altoona,Campus,72af714d-97dd-4f30-afb7-f0f1183ca319,"Division_of_Education,_Human_Development_&_Social_Sciences_(Altoona)",1
bce6c8fa-bff0-4bea-a7ce-56962078becd,Department,Division of Mathematics & Natural Sciences (Altoona),Penn_State_Altoona,Campus,72af714d-97dd-4f30-afb7-f0f1183ca319,Division_of_Mathematics_&_Natural_Sciences_(Altoona),1
25f9c99c-e834-4436-9252-3126c643742a,Libraries,Robert E. Eiche Library (Altoona),University_Libraries,Campus,b8941105-e61a-4e4e-b9ec-efbf5c562e97,Robert_E_Eiche_Library_(Altoona),1
035b9c61-c6dd-46d8-b99f-9c263633bdb0,Libraries,Lehigh Valley Campus Library,University_Libraries,Campus,b8941105-e61a-4e4e-b9ec-efbf5c562e97,Lehigh_Valley_Campus_Library,1
