id,value,name
The_Pennsylvania_State_University,1,The Pennsylvania State University
The_Pennsylvania_State_University.Penn_State_Altoona,1,Penn State Altoona
The_Pennsylvania_State_University.Penn_State_Lehigh_Valley,1,Penn State Lehigh Valley
"The_Pennsylvania_State_University.Penn_State_Erie,_The_Behrend_College",1,"Penn State Erie, The Behrend College"
The_Pennsylvania_State_University.Penn_State_Berks,1,Penn State Berks
The_Pennsylvania_State_University.Penn_State_Beaver,1,Penn State Beaver
The_Pennsylvania_State_University.Penn_State_Harrisburg,1,Penn State Harrisburg
The_Pennsylvania_State_University.Penn_State_Brandywine,1,Penn State Brandywine
The_Pennsylvania_State_University.Dickinson_Law_(Carlisle),1,Dickinson Law (Carlisle)
The_Pennsylvania_State_University.Penn_State_DuBois,1,Penn State DuBois
"The_Pennsylvania_State_University.Penn_State_Fayette,_The_Eberly_Campus",1,"Penn State Fayette, The Eberly Campus"
The_Pennsylvania_State_University.Penn_State_Hazleton,1,Penn State Hazleton
The_Pennsylvania_State_University.Penn_State_Great_Valley,1,Penn State Great Valley
The_Pennsylvania_State_University.Penn_State_Mont_Alto,1,Penn State Mont Alto
The_Pennsylvania_State_University.Penn_State_Greater_Allegheny,1,Penn State Greater Allegheny
The_Pennsylvania_State_University.Penn_State_New_Kensington,1,Penn State New Kensington
The_Pennsylvania_State_University.Penn_State_Abington,1,Penn State Abington
The_Pennsylvania_State_University.Penn_State_Schuylkill,1,Penn State Schuylkill
The_Pennsylvania_State_University.Penn_State_Shenango,1,Penn State Shenango
The_Pennsylvania_State_University.Penn_State_University_Park,1,Penn State University Park
The_Pennsylvania_State_University.Penn_State_Wilkes-Barre,1,Penn State Wilkes-Barre
The_Pennsylvania_State_University.Penn_State_Worthington_Scranton,1,Penn State Worthington Scranton
The_Pennsylvania_State_University.Penn_State_York,1,Penn State York
The_Pennsylvania_State_University.Interdisciplinary_Institutes_and_Units,1,Interdisciplinary Institutes and Units
The_Pennsylvania_State_University.University_Libraries,1,University Libraries
The_Pennsylvania_State_University.College_of_Medicine_(Hershey),1,College of Medicine (Hershey)
The_Pennsylvania_State_University.Penn_State_Altoona.Division_of_Arts_&_Humanities_(Altoona),1,Division of Arts & Humanities (Altoona)
"The_Pennsylvania_State_University.Penn_State_Altoona.Division_of_Business,_Engineering,_and_Information_Sciences_&_Technology_(Altoona)",1,"Division of Business, Engineering, and Information Sciences & Technology (Altoona)"
"The_Pennsylvania_State_University.Penn_State_Altoona.Division_of_Education,_Human_Development_&_Social_Sciences_(Altoona)",1,"Division of Education, Human Development & Social Sciences (Altoona)"
The_Pennsylvania_State_University.Penn_State_Altoona.Division_of_Mathematics_&_Natural_Sciences_(Altoona),1,Division of Mathematics & Natural Sciences (Altoona)
"The_Pennsylvania_State_University.Penn_State_Erie,_The_Behrend_College.Black_School_of_Business_(Behrend)",1,Black School of Business (Behrend)
"The_Pennsylvania_State_University.Penn_State_Erie,_The_Behrend_College.School_of_Engineering_(Behrend)",1,School of Engineering (Behrend)
"The_Pennsylvania_State_University.Penn_State_Erie,_The_Behrend_College.School_of_Humanities_&_Social_Sciences_(Behrend)",1,School of Humanities & Social Sciences (Behrend)
"The_Pennsylvania_State_University.Penn_State_Erie,_The_Behrend_College.School_of_Science_(Behrend)",1,School of Science (Behrend)
"The_Pennsylvania_State_University.Penn_State_Berks.Division_of_Engineering,_Business_&_Computing_(Berks)",1,"Division of Engineering, Business & Computing (Berks)"
"The_Pennsylvania_State_University.Penn_State_Berks.Division_of_Humanities,_Arts_and_Social_Sciences_(Berks)",1,"Division of Humanities, Arts and Social Sciences (Berks)"
The_Pennsylvania_State_University.Penn_State_Berks.Division_of_Science_(Berks),1,Division of Science (Berks)
The_Pennsylvania_State_University.Penn_State_Harrisburg.School_of_Behavioral_Sciences_&_Education_(Harrisburg),1,School of Behavioral Sciences & Education (Harrisburg)
The_Pennsylvania_State_University.Penn_State_Harrisburg.School_of_Business_Administration_(Harrisburg),1,School of Business Administration (Harrisburg)
The_Pennsylvania_State_University.Penn_State_Harrisburg.School_of_Humanities_(Harrisburg),1,School of Humanities (Harrisburg)
The_Pennsylvania_State_University.Penn_State_Harrisburg.School_of_Public_Affairs_(Harrisburg),1,School of Public Affairs (Harrisburg)
"The_Pennsylvania_State_University.Penn_State_Harrisburg.School_of_Science,_Engineering_&_Technology_(Harrisburg)",1,"School of Science, Engineering & Technology (Harrisburg)"
The_Pennsylvania_State_University.Penn_State_Great_Valley.Engineering_Division_(Great_Valley),1,Engineering Division (Great Valley)
The_Pennsylvania_State_University.Penn_State_Great_Valley.Management_Division_(Great_Valley),1,Management Division (Great Valley)
The_Pennsylvania_State_University.Penn_State_Abington.Division_of_Arts_&_Humanities_(Abington),1,Division of Arts & Humanities (Abington)
The_Pennsylvania_State_University.Penn_State_Abington.Division_of_Engineering_and_Science_(Abington),1,Division of Engineering and Science (Abington)
The_Pennsylvania_State_University.Penn_State_Abington.Division_of_Social_Sciences_(Abington),1,Division of Social Sciences (Abington)
The_Pennsylvania_State_University.Penn_State_University_Park.Smeal_College_of_Business,1,Smeal College of Business
The_Pennsylvania_State_University.Penn_State_University_Park.College_of_Nursing,1,College of Nursing
The_Pennsylvania_State_University.Penn_State_University_Park.College_of_Information_Sciences_and_Technology,1,College of Information Sciences and Technology
The_Pennsylvania_State_University.Penn_State_University_Park.Eberly_College_of_Science,1,Eberly College of Science
The_Pennsylvania_State_University.Penn_State_University_Park.College_of_Health_&_Human_Development,1,College of Health & Human Development
The_Pennsylvania_State_University.Penn_State_University_Park.Donald_P_Bellisario_College_of_Communications,1,Donald P. Bellisario College of Communications
The_Pennsylvania_State_University.Penn_State_University_Park.College_of_the_Liberal_Arts,1,College of the Liberal Arts
The_Pennsylvania_State_University.Penn_State_University_Park.College_of_Education,1,College of Education
The_Pennsylvania_State_University.Penn_State_University_Park.College_of_Arts_&_Architecture,1,College of Arts & Architecture
The_Pennsylvania_State_University.Penn_State_University_Park.College_of_Agricultural_Sciences,1,College of Agricultural Sciences
The_Pennsylvania_State_University.Penn_State_University_Park.College_of_Earth_&_Mineral_Sciences,1,College of Earth & Mineral Sciences
The_Pennsylvania_State_University.Penn_State_University_Park.College_of_Engineering,1,College of Engineering
The_Pennsylvania_State_University.Penn_State_University_Park.School_of_International_Affairs,1,School of International Affairs
The_Pennsylvania_State_University.Penn_State_University_Park.Office_of_the_Vice_President_for_Research,1,Office of the Vice President for Research
The_Pennsylvania_State_University.Penn_State_University_Park.Penn_State_Law_(University_Park),1,Penn State Law (University Park)
The_Pennsylvania_State_University.Penn_State_University_Park.College_of_Medicine_(University_Park),1,College of Medicine (University Park)
The_Pennsylvania_State_University.Interdisciplinary_Institutes_and_Units.Penn_State_Clinical_and_Translational_Science_Institute_(CTSI),1,Penn State Clinical and Translational Science Institute (CTSI)
The_Pennsylvania_State_University.Interdisciplinary_Institutes_and_Units.Social_Science_Research_Institute_(SSRI),1,Social Science Research Institute (SSRI)
