uuid,type,name,parent_name,parent_type,parent_uuid
692237a4-e66a-413f-8ea9-40e0d30229c1,Interdisiplinary Research Units,Penn State Clinical and Translational Science Institute (CTSI),Interdisciplinary Institutes and Units,Interdisiplinary Research Units,d8f0fcd2-4a01-4ef4-af86-d2d01e2a3580
68573cdc-7eb1-4178-88f2-65095fbe4a50,College,Smeal College of Business,Penn State University Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7
f09adc6a-1843-4d41-91fc-5f5538d200a9,College,College of Nursing,Penn State University Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7
726afca4-77c1-4859-bd5c-36abb8d7129a,Interdisiplinary Research Units,Social Science Research Institute (SSRI),Interdisciplinary Institutes and Units,Interdisiplinary Research Units,d8f0fcd2-4a01-4ef4-af86-d2d01e2a3580
1081783b-ca65-43e7-9db0-d1d68657e3b2,College,College of Information Sciences and Technology,Penn State University Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7
c9234067-389e-4de1-a5cb-91dbe0173964,Interdisiplinary Research Units,Penn State Cancer Institute,Interdisciplinary Institutes and Units,Interdisiplinary Research Units,d8f0fcd2-4a01-4ef4-af86-d2d01e2a3580
53547b8c-c40d-4fff-828d-534accc133cb,Interdisiplinary Research Units,Institutes of Energy and the Environment (IEE),Interdisciplinary Institutes and Units,Interdisiplinary Research Units,d8f0fcd2-4a01-4ef4-af86-d2d01e2a3580
159b0439-2029-4220-898b-60a7b9dce8d9,Interdisiplinary Research Units,Materials Research Institute (MRI),Interdisciplinary Institutes and Units,Interdisiplinary Research Units,d8f0fcd2-4a01-4ef4-af86-d2d01e2a3580
3ac727a3-e37a-4861-80ee-3143a3768077,College,Eberly College of Science,Penn State University Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7
0bab3c92-bbc2-478f-a85e-4c8e25cd0631,College,College of Health & Human Development,Penn State University Park,Campus,63a0013d-7ac9-4007-bea5-fa60a60776f7
